custID,region,country,item,sold,price
1,Sub-Saharan Africa,Chad,Office Supplies,4484,651.21
2,Europe,Latvia,Beverages,1075,47.45
3,Middle East and North Africa,Pakistan,Vegetables,6515,154.06
4,Sub-Saharan Africa,Democratic Republic of the Congo,Household,7683,668.27
5,Europe,Czech Republic,Beverages,3491,47.45
6,Sub-Saharan Africa,South Africa,Beverages,9880,47.45
7,Asia,Laos,Vegetables,4825,154.06
8,Asia,China,Baby Food,3330,255.28
9,Sub-Saharan Africa,Eritrea,Meat,2431,421.89
10,Central America and the Caribbean,Haiti,Office Supplies,6197,651.21
11,Sub-Saharan Africa,Zambia,Cereal,724,205.7
12,Europe,Bosnia and Herzegovina,Baby Food,9145,255.28
13,Europe,Germany,Office Supplies,6618,651.21
14,Asia,India,Household,5338,668.27
15,Middle East and North Africa,Algeria,Clothes,9527,109.28
16,Australia and Oceania,Palau,Snacks,441,152.58
17,Central America and the Caribbean,Cuba,Beverages,1365,47.45
18,Europe,Vatican City,Beverages,2617,47.45
19,Middle East and North Africa,Lebanon,Personal Care,6545,81.73
20,Europe,Lithuania,Snacks,2530,152.58
21,Sub-Saharan Africa,Mauritius ,Cosmetics,1983,437.2
22,Europe,Ukraine,Office Supplies,3345,651.21
23,Europe,Russia,Snacks,7091,152.58
24,Asia,Japan,Cosmetics,725,437.2
25,Europe,Russia,Meat,3784,421.89
26,Europe,Liechtenstein,Vegetables,2835,154.06
27,Europe,Greece,Clothes,6477,109.28
28,Europe,Albania,Baby Food,339,255.28
29,Australia and Oceania,Federated States of Micronesia,Baby Food,2083,255.28
30,Central America and the Caribbean,Dominica,Beverages,6401,47.45
31,Europe,Andorra,Office Supplies,16,651.21
32,Europe,Switzerland,Personal Care,6684,81.73
33,Central America and the Caribbean,Trinidad and Tobago,Baby Food,2191,255.28
34,Europe,San Marino,Vegetables,9353,154.06
35,Central America and the Caribbean,Nicaragua,Fruits,3020,9.33
36,Middle East and North Africa,Azerbaijan,Cosmetics,5072,437.2
37,Asia,Bangladesh,Personal Care,9420,81.73
38,Europe,Serbia,Beverages,7005,47.45
39,Sub-Saharan Africa,Mauritius ,Fruits,803,9.33
40,Central America and the Caribbean,Jamaica,Baby Food,816,255.28
41,Europe,Italy,Cereal,9083,205.7
42,Asia,Bhutan,Clothes,4670,109.28
43,Middle East and North Africa,Turkey,Clothes,8675,109.28
44,Europe,Bulgaria,Cosmetics,9229,437.2
45,Middle East and North Africa,Pakistan,Household,6493,668.27
46,Europe,Poland,Cereal,7659,205.7
47,Europe,France,Baby Food,1950,255.28
48,Central America and the Caribbean,Jamaica,Baby Food,5623,255.28
49,Australia and Oceania,Australia,Personal Care,6962,81.73
50,Middle East and North Africa,Somalia,Fruits,1285,9.33
51,Europe,Slovenia,Cosmetics,5941,437.2
52,Australia and Oceania,Samoa ,Clothes,5310,109.28
53,Sub-Saharan Africa,South Africa,Cereal,5802,205.7
54,Sub-Saharan Africa,Ghana,Vegetables,861,154.06
55,Asia,Sri Lanka,Office Supplies,5959,651.21
56,Sub-Saharan Africa,Guinea,Meat,3603,421.89
57,Europe,Spain,Fruits,8327,9.33
58,Europe,Moldova ,Personal Care,1699,81.73
59,Central America and the Caribbean,Dominican Republic,Cereal,7318,205.7
60,Europe,Luxembourg,Personal Care,5814,81.73
61,Middle East and North Africa,Kuwait,Office Supplies,9848,651.21
62,Central America and the Caribbean,Saint Lucia,Fruits,9112,9.33
63,Europe,Georgia,Vegetables,5330,154.06
64,Europe,Bosnia and Herzegovina,Cosmetics,7257,437.2
65,Europe,Iceland,Snacks,5678,152.58
66,Sub-Saharan Africa,Mauritius ,Personal Care,8412,81.73
67,Sub-Saharan Africa,Malawi,Office Supplies,5307,651.21
68,Sub-Saharan Africa,Seychelles ,Meat,3243,421.89
69,Europe,Montenegro,Personal Care,1130,81.73
70,Europe,Germany,Household,4912,668.27
71,Europe,Estonia,Meat,2562,421.89
72,Europe,Serbia,Clothes,9084,109.28
73,Sub-Saharan Africa,Madagascar,Baby Food,1516,255.28
74,Sub-Saharan Africa,Benin,Beverages,3924,47.45
75,Europe,Hungary,Clothes,2407,109.28
76,Central America and the Caribbean,Cuba,Cosmetics,95,437.2
77,Sub-Saharan Africa,Senegal,Fruits,2148,9.33
78,Middle East and North Africa,Algeria,Vegetables,761,154.06
79,Europe,Bosnia and Herzegovina,Personal Care,155,81.73
80,Central America and the Caribbean,Antigua and Barbuda ,Baby Food,1586,255.28
81,Asia,Cambodia,Personal Care,8340,81.73
82,Middle East and North Africa,Oman,Vegetables,735,154.06
83,North America,United States of America,Baby Food,1118,255.28
84,Sub-Saharan Africa,Mauritania,Office Supplies,8871,651.21
85,Sub-Saharan Africa,Central African Republic,Cosmetics,5403,437.2
86,Europe,Albania,Baby Food,9158,255.28
87,Europe,Switzerland,Vegetables,609,154.06
88,Sub-Saharan Africa,Ghana,Household,7261,668.27
89,Europe,Austria,Vegetables,8650,154.06
90,Sub-Saharan Africa,Democratic Republic of the Congo,Household,1344,668.27
91,Central America and the Caribbean,Dominican Republic,Clothes,3941,109.28
92,Sub-Saharan Africa,Mauritius ,Baby Food,2070,255.28
93,Middle East and North Africa,Libya,Cosmetics,3394,437.2
94,Australia and Oceania,Samoa ,Office Supplies,2605,651.21
95,Middle East and North Africa,Kuwait,Personal Care,6425,81.73
96,Europe,Hungary,Meat,8611,421.89
97,Sub-Saharan Africa,Senegal,Beverages,4947,47.45
98,Europe,Moldova ,Personal Care,8252,81.73
99,Sub-Saharan Africa,Eritrea,Beverages,3375,47.45
100,Sub-Saharan Africa,Niger,Personal Care,2194,81.73
101,Central America and the Caribbean,Saint Lucia,Snacks,8622,152.58
102,Europe,Sweden,Vegetables,3600,154.06
103,Central America and the Caribbean,Jamaica,Baby Food,102,255.28
104,Central America and the Caribbean,Haiti,Vegetables,8134,154.06
105,Australia and Oceania,Samoa ,Cosmetics,9730,437.2
106,Central America and the Caribbean,Dominican Republic,Snacks,3960,152.58
107,Middle East and North Africa,Tunisia ,Cereal,1920,205.7
108,Asia,Taiwan,Beverages,1742,47.45
109,Middle East and North Africa,Tunisia ,Cereal,3585,205.7
110,Asia,Sri Lanka,Office Supplies,4644,651.21
111,Asia,Indonesia,Office Supplies,4141,651.21
112,Sub-Saharan Africa,Ethiopia,Clothes,8330,109.28
113,Sub-Saharan Africa,Swaziland,Snacks,5500,152.58
114,Europe,Portugal,Fruits,965,9.33
115,Europe,Hungary,Cereal,2077,205.7
116,Sub-Saharan Africa,Zimbabwe,Beverages,3213,47.45
117,Europe,Armenia,Personal Care,785,81.73
118,Asia,North Korea,Meat,8237,421.89
119,Sub-Saharan Africa,Burkina Faso,Meat,1040,421.89
120,Asia,India,Personal Care,1701,81.73
121,Sub-Saharan Africa,Sao Tome and Principe,Household,4755,668.27
122,Europe,Armenia,Meat,1770,421.89
123,Europe,Georgia,Clothes,6344,109.28
124,Europe,Serbia,Cosmetics,9108,437.2
125,Australia and Oceania,Tuvalu,Cosmetics,2722,437.2
126,Central America and the Caribbean,Barbados,Vegetables,6878,154.06
127,Sub-Saharan Africa,Mali,Cereal,3301,205.7
128,Sub-Saharan Africa,Central African Republic,Household,746,668.27
129,Asia,Sri Lanka,Vegetables,9997,154.06
130,Europe,Bosnia and Herzegovina,Vegetables,8874,154.06
131,Europe,Netherlands,Household,7224,668.27
132,Asia,Laos,Office Supplies,1927,651.21
133,Central America and the Caribbean,Honduras,Office Supplies,1895,651.21
134,Sub-Saharan Africa,Zambia,Household,3069,668.27
135,Sub-Saharan Africa,Botswana,Snacks,3424,152.58
136,Asia,Bhutan,Household,7964,668.27
137,Sub-Saharan Africa,Zimbabwe,Household,3726,668.27
138,Sub-Saharan Africa,Lesotho,Personal Care,4776,81.73
139,Sub-Saharan Africa,Togo,Household,7214,668.27
140,Australia and Oceania,Australia,Meat,4170,421.89
141,Europe,Luxembourg,Fruits,804,9.33
142,Europe,Estonia,Fruits,9308,9.33
143,Europe,United Kingdom,Meat,3908,421.89
144,Middle East and North Africa,Morocco,Vegetables,5856,154.06
145,Europe,United Kingdom,Office Supplies,8440,651.21
146,Australia and Oceania,Papua New Guinea,Beverages,1978,47.45
147,Australia and Oceania,New Zealand,Personal Care,8816,81.73
148,Europe,Austria,Cosmetics,8336,437.2
149,Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,1949,154.06
150,Asia,Myanmar,Snacks,8097,152.58
151,Central America and the Caribbean,Guatemala,Baby Food,7253,255.28
152,Central America and the Caribbean,Antigua and Barbuda ,Vegetables,6922,154.06
153,Middle East and North Africa,Iran,Vegetables,6641,154.06
